Planet;Distance;Mean orbital;OrbitalPeriodDays;RotationPeriodDays;SUM
Mercury;57909175;47.87;87.97;58.65;57.909175
Venus;108208930;35.02;224.7;243.02;108.20893
Earth;149597890;29.70;365.26;1;149.59789
Mars;227936640;24.13;686.97;1.030;227.93664
Jupiter;778412010;13.07000000000000;4332.59;0.41;778.41201
Saturn;1426725400;9.6700000000;10759.22;0.44;1426.7254
Uranus;2870972200;6.840000000;30688.5;0.72;2870.9722
Neptune;4498252900;5.48000000;60182;0.67;4498.2529
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
